request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_99,17445.43,affordable_with_plan,full_payment,2026-07-04:18062,2026-07-15,reduce_to:event_9232:1065.90,"Reduce the family dinner to ZAR 1,065.90, then pay ZAR 18,062 today. This leaves at least ZAR 49,100 available."
request_100,25169.04,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,reduce_to:event_9267:508.20,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available. The forecast uses confirmed income in messages."
request_103,2146.56,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 368,300 request. Although INR 2,146.56 is available today, the full amount cannot be completed safely by 7 October 2024 while keeping the INR 125,500 minimum. The forecast uses the latest payroll update."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days. The forecast uses the latest payroll update."
request_105,53441.11,affordable_with_plan,full_payment,2026-06-08:53500,2026-06-15,reduce_to:event_9721:1720,"Reduce the monthly entertainment spend to INR 1,720, then pay INR 53,500 today. This leaves at least INR 73,900 available."
request_106,463.22,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Pay EUR 2,207.70 in full on 15 February 2025. Paying earlier would take the balance below the EUR 1,200 minimum; only EUR 463.22 is safe today. The forecast uses confirmed income in messages."
request_107,2416.93,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-07-15,none,"Use 3 installments of EUR 878.59, starting 8 May 2025. This leaves at least EUR 1,600 available. The forecast uses confirmed income in messages."
request_108,1717.39,not_affordable,not_recommended,none,2026-09-15,none,"Do not proceed with the ZAR 55,308 request. Although ZAR 1,717.39 is available today, the full amount cannot be completed safely by 26 July 2026 while keeping the ZAR 24,100 minimum. The forecast uses the latest payroll update."
request_109,472.91,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,stop:event_10080|stop:event_10081,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available."
request_110,22352,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available. The forecast uses confirmed income in messages."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days. The forecast uses confirmed income in messages.
request_113,23904.17,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum; only INR 23,904.17 is safe today. The forecast uses confirmed income in messages."
request_114,54888.32,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the INR 65,300 request. Although INR 54,888.32 is available today, the full amount cannot be completed safely by 14 January 2026 while keeping the INR 113,400 minimum. The forecast uses the latest payroll update."
request_115,14648.43,affordable_later,wait,2024-11-15:80500,2024-11-15,none,"Pay INR 80,500 in full on 15 November 2024. Paying earlier would take the balance below the INR 38,800 minimum; only INR 14,648.43 is safe today."
request_116,9179.83,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 241,200 request. Although INR 9,179.83 is available today, the full amount cannot be completed safely by 16 April 2025 while keeping the INR 80,300 minimum."
request_117,859.11,affordable_with_plan,full_payment,2026-07-05:880,2026-07-15,stop:event_10833,"Stop the family streaming plan, then pay EUR 880 today. This leaves at least EUR 1,000 available. The forecast uses the latest payroll update."
request_118,649.88,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available. The forecast uses the latest payroll update and confirmed income in messages."
request_119,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2025. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available. The forecast uses confirmed income in messages."
request_123,0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1392.45,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,stop:event_11448,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available."
request_125,5834.63,not_affordable,not_recommended,none,2025-11-15,none,"Do not proceed with the ZAR 6,468 request. Although ZAR 5,834.63 is available today, the full amount cannot be completed safely by 14 November 2025 while keeping the ZAR 11,300 minimum. The forecast uses confirmed income in messages."
request_126,159600,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days. The forecast uses confirmed income in messages."
request_127,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 October 2024. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days."
request_129,111.57,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,668.80 request. Although USD 111.57 is available today, the full amount cannot be completed safely by 18 June 2026 while keeping the USD 800 minimum."
request_130,373.31,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum; only USD 373.31 is safe today. The forecast uses the latest payroll update."
request_131,1134.43,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-23,none,"Use 3 installments of USD 643.14, starting 6 May 2025. This leaves at least USD 1,100 available. The forecast uses the latest payroll update."
request_132,261.98,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum; only USD 261.98 is safe today. The forecast uses the latest payroll update."
request_133,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4461408.13,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Pay IDR 21,831,000 in full on 15 October 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum; only IDR 4,461,408.13 is safe today."
request_135,283.19,affordable_with_plan,full_payment,2026-07-06:304.80,2026-07-15,stop:event_12413,"Stop the video streaming plan, then pay USD 304.80 today. This leaves at least USD 500 available. The forecast uses the latest payroll update."
request_136,528.50,affordable_with_plan,full_payment,2024-06-03:560.40,2024-06-15,reduce_to:event_12498:27.20,"Reduce the household shopping to USD 27.20, then pay USD 560.40 today. This leaves at least USD 1,100 available."
request_137,24172.14,affordable_later,wait,2026-01-15:80100,2026-01-15,none,"Pay INR 80,100 in full on 15 January 2026. Paying earlier would take the balance below the INR 71,800 minimum; only INR 24,172.14 is safe today."
request_138,752.76,affordable_with_plan,installments,2026-04-07:435.74|2026-05-05:435.74|2026-06-02:435.74,2026-04-15,none,"Use 3 installments of EUR 435.74, starting 7 April 2026. This leaves at least EUR 2,300 available. The forecast uses the latest bill update."
request_139,1247.41,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with the USD 2,316 request. Although USD 1,247.41 is available today, the full amount cannot be completed safely by 17 November 2024 while keeping the USD 1,500 minimum."
request_140,1428.81,not_affordable,not_recommended,none,,none,"Do not proceed with the ZAR 62,832 request. Although ZAR 1,428.81 is available today, the full amount cannot be completed safely by 4 March 2025 while keeping the ZAR 21,600 minimum. The forecast uses confirmed income in messages."
request_141,18191.39,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 171,600 request. Although INR 18,191.39 is available today, the full amount cannot be completed safely by 12 February 2026 while keeping the INR 67,300 minimum."
request_142,1263.60,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days. The forecast uses confirmed income in messages."
request_143,2501.34,affordable_later,wait,2025-07-15:12584,2025-07-15,none,"Pay ZAR 12,584 in full on 15 July 2025. Paying earlier would take the balance below the ZAR 11,300 minimum; only ZAR 2,501.34 is safe today."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days. The forecast uses confirmed income in messages.
request_145,27650.10,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-04-15,none,"Use 3 installments of INR 75,365.33, starting 20 March 2024. This leaves at least INR 155,400 available. The forecast uses the latest payroll update and confirmed income in messages."
request_146,16037.09,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 449,400 request. Although INR 16,037.09 is available today, the full amount cannot be completed safely by 17 October 2025 while keeping the INR 108,600 minimum."
request_147,0,not_affordable,not_recommended,none,,none,Do not make this payment by 7 June 2026. None of the available options keeps the EUR 900 minimum protected.
request_148,7127.02,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,reduce_to:event_13594:576.40,"Use 3 installments of ZAR 7,710.56, starting 14 June 2024. This leaves at least ZAR 20,000 available."
request_149,22401.22,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 18 November 2025. This leaves at least ZAR 42,100 available."
request_150,255.75,not_affordable,not_recommended,none,2026-03-15,none,"Do not proceed with the EUR 496.10 request. Although EUR 255.75 is available today, the full amount cannot be completed safely by 16 March 2026 while keeping the EUR 700 minimum. The forecast uses the latest payroll update."
request_151,26999000,affordable_now,full_payment,2024-09-03:26999000,2024-09-03,none,"Pay IDR 26,999,000 today. This leaves at least IDR 31,633,600 available over the next 90 days. The forecast uses confirmed income in messages."
request_152,11084.90,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,reduce_to:event_14024:234.30,"Use 3 installments of ZAR 4,812.43, starting 12 February 2025. This leaves at least ZAR 11,900 available."
request_153,15.20,not_affordable,not_recommended,none,,none,"Do not proceed with the USD 2,830.80 request. Although USD 15.20 is available today, the full amount cannot be completed safely by 24 September 2026 while keeping the USD 1,400 minimum."
request_154,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 February 2025. None of the available options keeps the EUR 1,300 minimum protected."
request_155,13179.20,affordable_now,full_payment,2025-05-06:112500,2025-05-06,none,"Pay INR 112,500 today. This leaves at least INR 56,300 available over the next 90 days."
request_156,8497.56,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Pay ZAR 43,076 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 26,900 minimum; only ZAR 8,497.56 is safe today. The forecast uses the latest bill update."
request_157,4775248.01,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Pay IDR 23,503,000 in full on 15 May 2024. Paying earlier would take the balance below the IDR 15,714,100 minimum; only IDR 4,775,248.01 is safe today. The forecast uses the latest payroll update."
request_158,199967.12,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,,none,"Use 3 installments of INR 84,101.33, starting 7 August 2025. This leaves at least INR 131,400 available."
request_159,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 20 March 2026. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 13 June 2024. This leaves at least EUR 1,200 available. The forecast uses confirmed income in messages."
